,y,x,mass,size,ecc,signal,raw_mass,ep,frame,particle
178,676.8361512027492,517.3535395189003,2538.4085055090623,2.6022987458949824,0.030670776650537804,77.11179102646085,-28329.0,0.015440384514745775,16,9
171,244.61045304677006,512.8504090853584,2857.323333555149,2.550048546249289,0.039372082005459844,88.97514349207022,-32793.0,0.051845537672631635,16,3
170,230.14013137316235,216.074913981858,2231.008107797243,2.5610774925903477,0.022725344709309377,68.73765987426601,-27002.0,0.012773988063401132,16,2
169,123.32439422815138,1038.315001361285,2563.1819768343053,2.5174858135988885,0.042349454462330974,85.13700004731425,-30286.0,0.02230737824139112,16,1
168,109.6801370841068,372.80951020991006,2443.501685784187,2.5521548183376814,0.03613205259344621,76.41394676377796,-29824.0,0.02018780340077604,16,0
172,250.56791406791407,146.55058905058905,2013.97854210286,2.602906313166357,0.03356282347572555,62.45706151011988,-24799.0,0.0099278019758269,16,10
189,676.7235351699063,517.3533771500489,2527.094920121374,2.603150957935944,0.021495689626008226,77.74589322146585,-28321.0,0.052590539589073004,17,9
188,614.6834551854861,511.55659355537506,2610.1416696988485,2.5815431460452176,0.027976488713881868,84.46031127241062,-29713.0,0.06570872453809004,17,8
187,551.6080808080808,282.3074074074074,2099.139116979578,2.5366671312334486,0.030442571278065444,68.55774220438352,-26510.0,0.04174731454258684,17,7
186,536.0291581752626,1176.5057218999843,2254.2775129987754,2.601144128260427,0.05491486038989009,69.61791347558533,-25654.0,0.038040099308554544,17,6
185,530.3167539267016,1246.6301919720768,2024.9271279954512,2.6093535604609817,0.023413878970976895,61.13654330597087,-23568.0,0.03127265679798827,17,5
183,250.58762341325811,146.55782792665727,2004.4304834188831,2.6348336528132434,0.029973168682180997,62.903495424640546,-24756.0,0.034798342802829084,17,10
182,244.62750432846894,512.7872866683156,2857.5149663126035,2.548126915819621,0.03184305715508486,90.1145580521536,-32832.0,0.1489691396647619,17,3
181,230.1495652173913,216.09849802371542,2235.194430117143,2.567322777731559,0.01984250506163058,68.55774220438352,-26929.0,0.043838548303522205,17,2
180,123.36014800602987,1038.4083870083596,2578.6899219865286,2.542337141628165,0.04409265184544012,84.46031127241062,-30273.0,0.07303805144603356,17,1
179,109.68319838056681,372.8275014459225,2444.048170543899,2.5543258763273373,0.031231954012379003,75.62555067906223,-29786.0,0.06657967086424176,17,0
184,489.29520904816366,1051.370568051849,2780.8292443623395,2.5873726818609866,0.045766523281539906,86.93404423854817,-29300.0,0.06118086882202577,17,4
196,529.6425874240683,1247.0228205549172,2076.7314553740835,2.567493138182013,0.018509483036293038,64.43970531369263,-23552.0,0.013842062503431528,18,5
199,614.0881994309714,512.1113670234386,2516.5580154516683,2.5492573254831696,0.03569478490188832,77.73678736254983,-29867.0,0.027533903473764734,18,8
197,535.3729256299938,1177.1117086662568,2218.907948050326,2.5556498264919694,0.0238938620212004,68.53111517487946,-25680.0,0.016628469928546948,18,6
195,488.5419540950709,1051.9415527404992,2718.4009019368855,2.588215340333332,0.03274490415172967,82.51009886726781,-29313.0,0.02533540903974934,18,4
200,676.283785664579,517.8502435629784,2449.7316543856164,2.5678001816999863,0.03600137033703035,75.69108243195642,-28482.0,0.022625542819574258,18,9
193,244.2136641580433,513.1279397930385,2899.4457882944025,2.562001620764074,0.039782603602071746,86.60150872845465,-32736.0,0.050005695381092646,18,3
